"","A1","A2","A3","A1","A2","A3"
"420",1,1,1,0.9736,0.8477,0.986
"421",1,0,1,0.5656,0.2591,0.6801
"422",1,0,1,0.9427,0.4667,0.93
"423",1,1,1,0.9396,0.9155,0.9842
"424",1,1,0,0.8684,0.8776,0.4927
"425",1,1,1,0.8911,0.6194,0.675
"426",1,1,1,0.9969,0.9821,0.9928
"427",1,1,1,0.9951,0.964,0.9931
"428",1,0,1,0.7879,0.4011,0.7712
"429",1,1,1,0.9952,0.9721,0.996
"430",1,1,1,0.9924,0.9746,0.9963
"431",1,1,1,0.9962,0.9847,0.9745
"432",1,0,1,0.9041,0.0987,0.9416
"433",1,1,1,0.9185,0.9511,0.9766
"434",1,0,1,0.9483,0.4602,0.8431
"435",1,0,1,0.9265,0.3159,0.9409
"436",1,1,1,0.9815,0.9383,0.9943
"437",1,0,1,0.811,0.3396,0.6429
"438",1,1,0,0.6179,0.8304,0.2859
"439",1,0,1,0.5163,0.2609,0.7285
"440",1,1,1,0.9307,0.9099,0.926
"441",1,1,1,0.9135,0.9481,0.9583
"442",0,1,0,0.426,0.6039,0.1068
"443",1,1,1,0.9447,0.9668,0.926
"444",1,1,1,0.9891,0.9729,0.9838
"445",1,0,1,0.6225,0.0286,0.8497
"446",1,0,1,0.9315,0.019,0.9733
"447",1,0,0,0.671,0.0573,0.4642
"448",1,1,1,0.9877,0.9607,0.9554
"449",1,0,1,0.5582,0.4311,0.7911
"450",1,0,1,0.5892,0.2994,0.6357
"451",0,1,0,0.2406,0.6886,0.4924
"452",1,1,1,0.998,0.985,0.994
"453",1,1,0,0.6031,0.6164,0.2428
"454",1,0,1,0.5575,0.4244,0.7886
"455",1,1,1,0.9992,0.9974,0.9989
"456",1,1,1,0.6325,0.522,0.7936
"457",0,0,1,0.3052,0.0503,0.7197
"458",1,1,1,0.9815,0.9383,0.9943
"459",1,1,1,0.9676,0.892,0.993
"460",1,1,1,0.9685,0.724,0.96
"461",1,0,1,0.9317,0.0335,0.9737
"462",1,1,1,0.9748,0.9146,0.903
"463",1,1,1,0.9565,0.6824,0.9709
"464",1,0,1,0.931,0.0409,0.9747
"465",1,0,1,0.5318,0.2014,0.7067
"466",1,0,1,0.9313,0.0197,0.9741
"467",1,1,0,0.687,0.7832,0.0873
"468",1,1,0,0.8543,0.747,0.4353
"469",1,1,1,0.9679,0.8903,0.9655
"470",1,0,1,0.6155,0.0282,0.8444
"471",1,0,1,0.6006,0.3301,0.6589
"472",1,0,1,0.839,0.273,0.8053
"473",1,1,0,0.6626,0.7588,0.0796
"474",1,0,1,0.8108,0.3323,0.6599
"475",1,1,1,0.9849,0.9669,0.9744
"476",1,1,0,0.825,0.8353,0.3254
"477",1,1,1,0.998,0.985,0.994
"478",0,0,1,0.0832,0.4193,0.6345
"479",1,1,0,0.936,0.94,0.4811
"480",1,1,1,0.998,0.9856,0.9942
"481",1,0,0,0.5794,0.1138,0.2817
"482",1,1,1,0.8638,0.8788,0.6222
"483",1,0,1,0.9175,0.0437,0.8884
"484",1,1,1,0.9947,0.9884,0.9901
"485",1,1,1,0.9383,0.9416,0.5003
"486",1,0,1,0.7808,0.234,0.7074
"487",1,0,1,0.9315,0.019,0.9733
"488",1,0,1,0.9306,0.0056,0.973
"489",1,1,1,0.9992,0.9974,0.9989
"490",1,0,1,0.7834,0.2428,0.7107
"491",0,1,0,0.3517,0.5102,0.2014
"492",1,1,1,0.8753,0.6478,0.8206
"493",1,0,1,0.6114,0.0476,0.8574
"494",1,1,1,0.9921,0.9953,0.9894
"495",0,0,0,0.3818,0.4298,0.4535
"496",0,0,1,0.291,0.0398,0.735
"497",0,1,0,0.3672,0.5513,0.1548
"498",1,1,1,0.9825,0.8709,0.9813
"499",0,1,0,0.3604,0.5588,0.1689
"500",1,0,1,0.9019,0.0516,0.9385
"501",1,0,1,0.9309,0.0099,0.9731
"502",1,1,1,0.9377,0.641,0.9671
"503",1,1,1,0.9643,0.6677,0.936
"504",1,1,1,0.967,0.81,0.9826
"505",1,1,1,0.9814,0.8267,0.9666
"506",1,1,1,0.8024,0.6685,0.6455
"507",1,1,1,0.9951,0.964,0.9931
"508",1,1,1,0.9961,0.966,0.9863
"509",1,0,0,0.671,0.0573,0.4642
"510",1,0,1,0.8978,0.1052,0.942
"511",1,0,1,0.6097,0.3909,0.6899
"512",1,0,1,0.6184,0.3671,0.6709
"513",1,1,0,0.5304,0.5012,0.3519
"514",1,1,1,0.9693,0.833,0.9758
"515",1,1,1,0.9923,0.9434,0.9918
"516",1,1,1,0.889,0.8277,0.8615
"517",1,1,1,0.9774,0.9363,0.9456
"518",1,1,1,0.9324,0.7748,0.9854
"519",1,1,1,0.9988,0.9936,0.9974
"520",1,0,1,0.9248,0.2996,0.9358
"521",1,1,0,0.7777,0.6909,0.2044
"522",1,1,1,0.6801,0.6871,0.5876
"523",0,1,0,0.1405,0.6886,0.2067
"524",1,1,1,0.9482,0.8276,0.9842
"525",1,0,1,0.6135,0.0269,0.8543
"526",1,1,0,0.6503,0.6903,0.3959
"527",1,0,1,0.5848,0.3036,0.7055
"528",1,1,1,0.8952,0.8934,0.9446
"529",1,0,1,0.9405,0.1503,0.9729
"530",1,1,0,0.5193,0.5503,0.2629
"531",1,0,1,0.9343,0.0594,0.967
"532",1,1,1,0.9988,0.9936,0.9974
"533",0,0,0,0.3168,0.3699,0.4985
"534",1,0,1,0.9175,0.2026,0.8845
"535",1,1,1,0.9992,0.9974,0.9989
"536",1,1,1,0.9587,0.6951,0.9737
"537",1,1,1,0.9968,0.9818,0.9965
"538",1,1,0,0.9157,0.9193,0.3015
"539",1,1,1,0.8664,0.8858,0.7178
"540",1,0,1,0.5396,0.1983,0.7116
"541",1,0,1,0.7786,0.2196,0.7019
"542",1,1,1,0.9598,0.9656,0.7641
"543",0,1,0,0.465,0.5023,0.306
"544",1,0,1,0.9096,0.2083,0.9487
"545",0,0,0,0.4092,0.4735,0.4954
"546",1,1,1,0.995,0.9841,0.9624
"547",1,1,1,0.6201,0.5108,0.7457
"548",1,1,0,0.7666,0.7802,0.3231
"549",1,0,1,0.6135,0.0236,0.8495
"550",1,0,1,0.6201,0.069,0.8565
"551",1,0,1,0.9324,0.0423,0.974
"552",1,0,1,0.9165,0.1823,0.8927
"553",1,1,1,0.9622,0.9172,0.9293
"554",1,1,1,0.9925,0.9455,0.9921
"555",1,0,1,0.9357,0.3807,0.9103
"556",1,1,1,0.9841,0.8597,0.9797
"557",1,1,1,0.7824,0.9307,0.8951
"558",1,0,1,0.8429,0.496,0.7433
"559",1,0,1,0.9078,0.1084,0.9182
"560",1,1,0,0.5866,0.596,0.212
"561",0,0,1,0.0607,0.3986,0.6404
"562",1,0,1,0.9116,0.1772,0.9245
"563",1,0,1,0.9305,0.0083,0.9738
"564",1,1,1,0.9949,0.9626,0.9928
"565",0,0,0,0.4596,0.4714,0.2716
"566",1,1,1,0.8918,0.9141,0.6441
"567",1,1,1,0.9693,0.7343,0.9756
"568",1,1,1,0.9678,0.8144,0.9731
"569",1,1,0,0.81,0.8223,0.446
"570",1,1,1,0.995,0.9834,0.9968
"571",1,1,1,0.8595,0.8153,0.9059
"572",1,0,1,0.9063,0.0223,0.8477
"573",1,0,1,0.9281,0.4699,0.9514
"574",1,1,0,0.7324,0.8427,0.3379
"575",1,0,1,0.9183,0.296,0.9354
"576",1,1,1,0.9992,0.9974,0.9989
"577",1,1,1,0.9544,0.9727,0.9708
"578",1,1,1,0.9445,0.5139,0.9554
"579",0,0,1,0.2592,0.3058,0.53
"580",1,0,1,0.9437,0.4556,0.8952
"581",1,1,0,0.9138,0.9316,0.4081
"582",1,0,1,0.5561,0.4226,0.7507
"583",1,1,1,0.9971,0.984,0.9969
"584",1,0,1,0.9319,0.0282,0.9726
"585",1,0,0,0.7622,0.315,0.489
"586",1,1,1,0.9521,0.5535,0.9591
"587",1,1,1,0.9676,0.7165,0.974
"588",1,0,1,0.9434,0.4678,0.9229
"589",1,1,0,0.7415,0.6418,0.4161
"590",1,0,1,0.9172,0.229,0.95
"591",1,1,1,0.9821,0.8681,0.9879
"592",0,0,0,0.456,0.4719,0.2637
"593",0,0,1,0.3017,0.0526,0.724
"594",1,0,1,0.9396,0.4707,0.9233
"595",1,0,1,0.6112,0.0174,0.8529
"596",0,1,0,0.4298,0.603,0.1085
"597",1,1,0,0.5213,0.5363,0.2488
"598",1,1,1,0.985,0.9576,0.9518
"599",1,1,1,0.9951,0.964,0.9931
"600",1,1,1,0.9597,0.8659,0.9898
"601",0,0,1,0.2932,0.1059,0.5301
"602",1,1,1,0.9728,0.8911,0.9133
"603",1,1,1,0.9901,0.9429,0.989
"604",1,0,1,0.7308,0.0406,0.9597
"605",1,1,1,0.9753,0.9284,0.9389
"606",1,0,0,0.7092,0.152,0.08
"607",1,0,1,0.7789,0.2167,0.7008
"608",1,1,0,0.5264,0.5779,0.3612
"609",1,0,1,0.747,0.2972,0.5241
"610",1,0,1,0.9034,0.0662,0.9395
"611",1,0,1,0.9309,0.0144,0.9722
"612",0,0,0,0.4754,0.4153,0.3538
"613",1,1,1,0.9806,0.9748,0.9426
"614",1,1,1,0.9797,0.883,0.9911
"615",1,0,1,0.9305,0.0153,0.974
"616",1,1,1,0.743,0.8489,0.8474
"617",1,0,1,0.9259,0.1477,0.9005
"618",1,1,1,0.9597,0.8659,0.9898
"619",1,1,1,0.998,0.9933,0.9987
"620",1,0,1,0.9286,0.4791,0.9522
"621",1,0,1,0.9508,0.317,0.9807
"622",1,1,1,0.802,0.6552,0.6313
"623",1,1,1,0.9785,0.843,0.9773
"624",1,1,1,0.7384,0.6464,0.5213
"625",1,1,1,0.989,0.94,0.9945
"626",1,0,1,0.9311,0.0118,0.9685
"627",1,1,1,0.9693,0.7343,0.9756
"628",1,1,1,0.9868,0.9711,0.9844
"629",1,0,1,0.9044,0.1096,0.9423
"630",1,1,1,0.9903,0.9727,0.9767
"631",1,0,1,0.9286,0.4791,0.9522
"632",1,1,1,0.991,0.9337,0.9913
"633",1,0,1,0.6378,0.405,0.6907
"634",1,0,1,0.6658,0.1638,0.8372
"635",1,1,1,0.671,0.7086,0.5279
"636",1,0,1,0.9267,0.1583,0.9018
"637",1,1,1,0.7896,0.6884,0.9442
"638",1,0,1,0.786,0.245,0.7116
"639",1,1,0,0.5928,0.7136,0.0859
"640",1,1,0,0.7256,0.7316,0.1732
"641",1,1,1,0.995,0.9834,0.9968
"642",0,1,0,0.4847,0.6699,0.0343
"643",1,1,1,0.7315,0.5496,0.6379
"644",1,1,1,0.7137,0.5252,0.6467
"645",1,1,1,0.9955,0.9601,0.9839
"646",1,1,1,0.9969,0.9897,0.9985
"647",1,1,1,0.8978,0.9387,0.8091
"648",1,1,1,0.9829,0.8752,0.9819
"649",1,1,1,0.9512,0.9709,0.9339
"650",1,1,1,0.9992,0.9974,0.9989
"651",1,1,1,0.9459,0.782,0.8265
"652",1,1,1,0.9955,0.9755,0.9964
"653",1,1,1,0.9938,0.9545,0.9817
"654",1,1,1,0.7054,0.552,0.8066
"655",1,0,1,0.9044,0.1096,0.9423
"656",1,1,1,0.995,0.9834,0.9968
"657",1,0,1,0.8293,0.4172,0.7774
"658",1,1,1,0.9544,0.6049,0.9699
"659",0,1,1,0.4578,0.8272,0.8625
"660",1,0,0,0.671,0.0589,0.465
"661",1,1,1,0.9506,0.8423,0.8654
"662",1,1,1,0.9936,0.9788,0.9915
"663",1,0,1,0.622,0.0275,0.8532
"664",1,0,1,0.6553,0.1438,0.8543
"665",1,0,1,0.9367,0.4101,0.9551
"666",0,1,0,0.4263,0.5877,0.2099
"667",1,0,1,0.908,0.111,0.9323
"668",1,1,1,0.9845,0.8644,0.9804
"669",1,1,0,0.7506,0.7639,0.2729
"670",1,0,1,0.5561,0.4284,0.7532
"671",1,0,1,0.9019,0.0516,0.9385
"672",1,1,1,0.9606,0.9137,0.9534
"673",1,0,1,0.932,0.3442,0.9139
"674",1,1,1,0.9126,0.7207,0.7615
"675",0,1,0,0.4857,0.62,0.1738
"676",1,0,1,0.6243,0.0417,0.8498
"677",1,1,1,0.9814,0.9752,0.9447
"678",1,1,0,0.8038,0.8615,0.0754
"679",1,1,1,0.9923,0.9434,0.9918
"680",1,1,1,0.9707,0.7838,0.9835
"681",0,1,0,0.3358,0.6097,0.2648
"682",1,0,1,0.5825,0.1144,0.8674
"683",1,1,1,0.9944,0.9572,0.9918
"684",1,0,1,0.6398,0.0694,0.8188
"685",1,1,1,0.9922,0.9742,0.9976
"686",1,1,1,0.998,0.9933,0.9987
"687",1,1,1,0.9644,0.9791,0.9844
"688",1,0,1,0.8909,0.1958,0.9479
"689",1,1,0,0.6959,0.8137,0.4077
"690",1,0,1,0.6932,0.4854,0.7532
"691",1,0,0,0.6706,0.0585,0.4648
"692",1,0,1,0.9303,0.0052,0.9737
"693",1,1,1,0.9738,0.7561,0.9647
"694",1,1,1,0.9788,0.8844,0.9777
"695",0,0,1,0.3045,0.0559,0.7214
"696",1,0,1,0.9371,0.1272,0.9754
"697",1,1,1,0.9047,0.9235,0.7863
"698",1,1,1,0.9445,0.5139,0.9554
"699",1,0,1,0.9427,0.4667,0.93
"700",1,1,1,0.9916,0.9815,0.979
"701",1,1,1,0.9815,0.9383,0.9943
"702",1,1,1,0.9379,0.5465,0.9655
"703",1,0,1,0.6554,0.054,0.5677
"704",1,1,1,0.9707,0.7838,0.9835
"705",0,0,1,0.3144,0.4317,0.5477
"706",1,1,1,0.9793,0.8477,0.9868
"707",1,0,1,0.9276,0.3663,0.9589
"708",1,0,1,0.9354,0.0776,0.974
"709",1,0,1,0.6714,0.0979,0.5592
"710",1,0,1,0.9488,0.4896,0.915
"711",1,0,1,0.6556,0.0499,0.5658
"712",1,1,1,0.9593,0.9465,0.8806
"713",1,1,1,0.8753,0.5757,0.7706
"714",1,0,1,0.6207,0.0215,0.8523
"715",1,1,1,0.9852,0.8921,0.9792
"716",1,1,1,0.9838,0.9116,0.9884
"717",1,1,1,0.9784,0.928,0.9938
"718",1,1,1,0.9922,0.9742,0.9976
"719",1,1,1,0.8938,0.6251,0.6799
"720",1,1,1,0.9344,0.8548,0.9661
"721",1,1,1,0.9485,0.9597,0.8348
"722",1,1,1,0.8209,0.5431,0.875
"723",1,1,0,0.5752,0.5944,0.2459
"724",1,0,1,0.9142,0.2012,0.9392
"725",1,1,1,0.6192,0.5046,0.7425
"726",1,1,0,0.6059,0.575,0.3255
"727",0,0,0,0.4568,0.4751,0.2767
"728",0,0,1,0.2595,0.3061,0.5302
"729",1,1,0,0.6737,0.7655,0.1454
"730",1,0,1,0.6694,0.1789,0.8603
"731",1,1,0,0.7231,0.7291,0.1656
"732",1,0,1,0.9064,0.1281,0.9435
"733",1,1,1,0.9762,0.9208,0.9927
"734",1,1,1,0.9909,0.9696,0.9974
"735",1,1,1,0.9681,0.8938,0.9919
"736",1,0,1,0.9311,0.0133,0.9721
"737",1,1,1,0.9649,0.9787,0.8178
"738",1,1,1,0.9722,0.7566,0.9531
"739",1,1,1,0.9721,0.9711,0.9354
"740",1,0,1,0.9322,0.032,0.9692
"741",1,1,1,0.9882,0.9321,0.9938
"742",1,0,1,0.8796,0.3444,0.9575
"743",1,1,0,0.5544,0.6325,0.4438
"744",1,1,1,0.9669,0.7086,0.9733
"745",0,0,1,0.3037,0.0442,0.7215
"746",1,1,1,0.993,0.9797,0.977
"747",1,0,1,0.6105,0.0185,0.853
"748",0,0,1,0.2476,0.0307,0.8842
"749",1,1,1,0.6862,0.8269,0.6517
"750",1,1,1,0.6377,0.6315,0.8084
"751",1,1,1,0.9016,0.6059,0.8945
"752",1,1,1,0.9859,0.8788,0.9824
"753",0,0,1,0.0834,0.4131,0.6306
"754",1,1,1,0.9969,0.9897,0.9985
"755",1,1,1,0.8653,0.8706,0.9037
"756",1,1,1,0.991,0.9701,0.9961
"757",1,1,1,0.9871,0.8871,0.9546
"758",0,1,0,0.4222,0.5913,0.0783
"759",1,1,1,0.9565,0.6824,0.9709
"760",1,1,1,0.9669,0.7086,0.9733
"761",1,1,1,0.9767,0.9224,0.9888
"762",1,0,1,0.9354,0.0776,0.974
"763",1,1,1,0.5761,0.8649,0.7956
"764",0,1,0,0.4905,0.7006,0.248
"765",1,1,1,0.9327,0.6337,0.9684
"766",1,1,1,0.9546,0.6537,0.9498
"767",1,1,0,0.6422,0.8533,0.4653
"768",1,1,0,0.8779,0.9196,0.0598
"769",1,1,1,0.9992,0.9974,0.9989
"770",1,0,0,0.7185,0.0901,0.1671
"771",1,0,1,0.9306,0.0099,0.9738
"772",0,0,1,0.2917,0.0327,0.733
"773",1,1,1,0.8697,0.8019,0.8526
"774",1,1,1,0.9901,0.967,0.9952
"775",1,0,1,0.9003,0.072,0.9399
"776",1,0,1,0.9019,0.0516,0.9385
"777",1,0,1,0.9172,0.229,0.95
"778",1,1,1,0.8301,0.8635,0.6191
"779",1,1,1,0.9445,0.5139,0.9554
"780",1,1,1,0.9762,0.9208,0.9927
"781",1,0,1,0.9103,0.1219,0.9195
"782",1,0,1,0.9303,0.0337,0.9745
"783",1,1,1,0.9971,0.9843,0.9937
"784",1,1,0,0.7649,0.556,0.3638
"785",1,1,1,0.8548,0.8131,0.9028
"786",1,1,1,0.995,0.9834,0.9968
"787",1,1,1,0.9576,0.7553,0.9814
"788",1,1,1,0.9821,0.8435,0.9795
"789",1,1,1,0.967,0.81,0.9826
"790",1,1,0,0.5985,0.6384,0.2946
"791",1,1,1,0.9736,0.8477,0.986
"792",1,1,1,0.978,0.8378,0.9765
"793",1,1,1,0.5696,0.6858,0.5245
"794",1,1,0,0.722,0.6173,0.4125
"795",1,1,1,0.9918,0.9237,0.9693
"796",1,0,1,0.8051,0.3128,0.6284
"797",1,0,1,0.9322,0.032,0.9692
"798",1,1,1,0.8355,0.8712,0.7488
"799",0,0,0,0.3135,0.3668,0.496
"800",1,1,1,0.8605,0.7642,0.7479
"801",1,1,1,0.9632,0.7288,0.9751
"802",1,1,1,0.7562,0.8568,0.9382
"803",1,0,1,0.9044,0.1096,0.9423
"804",1,1,0,0.5092,0.6473,0.1142
"805",1,1,1,0.7815,0.7187,0.8786
"806",1,1,1,0.998,0.9856,0.9942
"807",1,1,1,0.9471,0.5071,0.9286
"808",0,1,0,0.3469,0.5752,0.1998
"809",1,0,1,0.9171,0.395,0.9608
"810",1,1,1,0.9662,0.5308,0.9851
"811",1,1,1,0.7246,0.5346,0.6258
"812",1,1,1,0.9182,0.7278,0.9824
"813",1,0,1,0.9325,0.0324,0.9727
"814",1,0,1,0.5318,0.2014,0.7067
"815",1,1,1,0.9971,0.984,0.9969
"816",1,0,1,0.9095,0.1282,0.9435
"817",1,0,1,0.9172,0.229,0.95
"818",1,1,1,0.9862,0.9539,0.9965
"819",1,1,1,0.6411,0.6552,0.8207
"820",1,0,1,0.9044,0.1096,0.9423
"821",1,1,1,0.9949,0.9835,0.9609
"822",1,1,1,0.9814,0.9889,0.9751
"823",1,1,1,0.8754,0.8909,0.6601
"824",1,1,1,0.9925,0.9455,0.9921
"825",1,1,0,0.8242,0.5107,0.0734
"826",1,0,1,0.9034,0.0662,0.9395
"827",1,1,1,0.991,0.9337,0.9913
"828",1,1,1,0.6839,0.5014,0.7461
"829",1,0,1,0.9315,0.019,0.9733
"830",1,1,0,0.7228,0.8267,0.0357
"831",1,0,1,0.9348,0.0955,0.9754
"832",1,1,1,0.9893,0.9691,0.9736
"833",1,0,1,0.9081,0.1143,0.9188
"834",0,0,1,0.2545,0.3293,0.5459
"835",1,1,1,0.9974,0.9914,0.9965
"836",1,1,1,0.9955,0.9755,0.9964
"837",0,0,1,0.2461,0.3682,0.5723
